Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
1,2010-02-05,1643690.90,0,42.31,2.57,211.10,8.11
1,2010-02-12,1641957.44,1,38.51,2.55,211.24,8.11
1,2010-02-19,1611968.17,0,39.93,2.51,211.29,8.11
1,2010-02-26,1409727.59,0,46.63,2.56,211.32,8.11
1,2010-03-05,1554806.68,0,46.50,2.63,211.35,8.11
1,2010-03-12,1439541.59,0,57.79,2.67,211.38,8.11
1,2010-03-19,1472515.79,0,54.58,2.72,211.22,8.11
1,2010-03-26,1404429.92,0,51.45,2.73,211.02,8.11
1,2010-04-02,1594968.28,0,62.27,2.72,210.82,7.81
1,2010-04-09,1545418.53,0,65.86,2.77,210.62,7.81
1,2010-04-16,1466058.28,0,66.32,2.81,210.49,7.81
1,2010-04-23,1391256.12,0,64.84,2.80,210.44,7.81
1,2010-04-30,1425100.71,0,67.41,2.78,210.39,7.81
1,2010-05-07,1603955.12,0,72.55,2.84,210.34,7.81
1,2010-05-14,1494251.50,0,74.78,2.85,210.34,7.81
1,2010-05-21,1399662.07,0,76.44,2.83,210.62,7.81
1,2010-05-28,1432069.95,0,80.44,2.76,210.90,7.81
1,2010-06-04,1615524.71,0,80.69,2.71,211.18,7.81
1,2010-06-11,1542561.09,0,80.43,2.67,211.46,7.81
1,2010-06-18,1503284.06,0,84.11,2.64,211.45,7.81
1,2010-06-25,1422711.60,0,84.34,2.65,211.34,7.81
1,2010-07-02,1492418.14,0,80.91,2.67,211.22,7.79
1,2010-07-09,1546074.18,0,80.48,2.64,211.11,7.79
1,2010-07-16,1448938.92,0,83.15,2.62,211.10,7.79
1,2010-07-23,1385065.20,0,83.36,2.61,211.24,7.79
1,2010-07-30,1371986.60,0,81.84,2.64,211.37,7.79
1,2010-08-06,1605491.78,0,87.16,2.63,211.50,7.79
1,2010-08-13,1508237.76,0,87.00,2.69,211.64,7.79
1,2010-08-20,1513080.49,0,86.65,2.66,211.60,7.79
1,2010-08-27,1449142.92,0,85.22,2.62,211.57,7.79
1,2010-09-03,1540163.53,0,81.21,2.58,211.53,7.79
1,2010-09-10,1507460.69,1,78.69,2.57,211.50,7.79
1,2010-09-17,1430378.67,0,82.11,2.58,211.52,7.79
1,2010-09-24,1351791.03,0,80.94,2.62,211.60,7.79
1,2010-10-01,1453329.50,0,71.89,2.60,211.67,7.84
1,2010-10-08,1508239.93,0,63.93,2.63,211.75,7.84
1,2010-10-15,1459409.10,0,67.18,2.72,211.81,7.84
1,2010-10-22,1345454.00,0,69.86,2.73,211.86,7.84
1,2010-10-29,1384209.22,0,69.64,2.72,211.91,7.84
1,2010-11-05,1551659.28,0,58.74,2.69,211.96,7.84
1,2010-11-12,1494479.49,0,59.61,2.73,212.00,7.84
1,2010-11-19,1483784.18,0,51.41,2.77,211.89,7.84
1,2010-11-26,1955624.11,1,64.52,2.74,211.75,7.84
1,2010-12-03,1548033.78,0,49.27,2.71,211.61,7.84
1,2010-12-10,1682614.26,0,46.33,2.84,211.47,7.84
1,2010-12-17,1891034.93,0,49.84,2.87,211.41,7.84
1,2010-12-24,2387950.20,0,52.33,2.89,211.41,7.84
1,2010-12-31,1367320.01,1,48.43,2.94,211.40,7.84
1,2011-01-07,1444732.28,0,48.27,2.98,211.40,7.74
1,2011-01-14,1391013.96,0,35.40,2.98,211.46,7.74
1,2011-01-21,1327405.42,0,44.04,3.02,211.83,7.74
1,2011-01-28,1316899.31,0,43.83,3.01,212.20,7.74
1,2011-02-04,1606629.58,0,42.27,2.99,212.57,7.74
1,2011-02-11,1649614.93,1,36.39,3.02,212.94,7.74
1,2011-02-18,1686842.78,0,57.36,3.05,213.25,7.74
1,2011-02-25,1456800.28,0,62.90,3.07,213.54,7.74
1,2011-03-04,1636263.41,0,59.58,3.29,213.82,7.74
1,2011-03-11,1553191.63,0,53.56,3.46,214.11,7.74
1,2011-03-18,1576818.06,0,62.76,3.49,214.36,7.74
1,2011-03-25,1541102.38,0,69.97,3.47,214.60,7.74
1,2011-04-01,1495064.75,0,59.17,3.52,214.84,7.68
1,2011-04-08,1614259.35,0,67.84,3.62,215.07,7.68
1,2011-04-15,1559889.00,0,71.27,3.74,215.29,7.68
1,2011-04-22,1564819.81,0,72.99,3.81,215.46,7.68
1,2011-04-29,1455090.69,0,72.03,3.81,215.63,7.68
1,2011-05-06,1629391.28,0,64.61,3.91,215.80,7.68
1,2011-05-13,1604775.58,0,75.64,3.90,215.96,7.68
1,2011-05-20,1428218.27,0,67.63,3.91,215.73,7.68
1,2011-05-27,1466046.67,0,77.72,3.79,215.50,7.68
1,2011-06-03,1635078.41,0,83.00,3.70,215.27,7.68
1,2011-06-10,1588948.32,0,83.13,3.65,215.04,7.68
1,2011-06-17,1532114.86,0,86.41,3.64,215.00,7.68
1,2011-06-24,1438830.15,0,83.58,3.59,215.09,7.68
1,2011-07-01,1488538.09,0,85.55,3.52,215.18,7.96
1,2011-07-08,1534849.64,0,85.83,3.48,215.28,7.96
1,2011-07-15,1455119.97,0,88.54,3.58,215.36,7.96
1,2011-07-22,1396926.82,0,85.77,3.65,215.42,7.96
1,2011-07-29,1352219.79,0,86.83,3.68,215.48,7.96
1,2011-08-05,1624383.75,0,91.65,3.68,215.54,7.96
1,2011-08-12,1525147.09,0,90.76,3.64,215.61,7.96
1,2011-08-19,1530761.43,0,89.94,3.55,215.67,7.96
1,2011-08-26,1464693.46,0,87.96,3.52,215.73,7.96
1,2011-09-02,1550229.22,0,87.83,3.53,215.80,7.96
1,2011-09-09,1540471.24,1,76.00,3.55,215.86,7.96
1,2011-09-16,1514259.78,0,79.94,3.53,216.04,7.96
1,2011-09-23,1380020.27,0,75.80,3.47,216.38,7.96
1,2011-09-30,1394561.83,0,79.69,3.36,216.71,7.96
1,2011-10-07,1630989.95,0,69.31,3.29,217.05,7.87
1,2011-10-14,1493525.93,0,71.74,3.27,217.36,7.87
1,2011-10-21,1502562.78,0,63.71,3.35,217.52,7.87
1,2011-10-28,1445249.09,0,66.57,3.37,217.68,7.87
1,2011-11-04,1697229.58,0,54.98,3.33,217.84,7.87
1,2011-11-11,1594938.89,0,59.11,3.30,218.00,7.87
1,2011-11-18,1539483.70,0,62.25,3.31,218.22,7.87
1,2011-11-25,2033320.66,1,60.14,3.24,218.47,7.87
1,2011-12-02,1584083.95,0,48.91,3.17,218.71,7.87
1,2011-12-09,1799682.38,0,43.93,3.16,218.96,7.87
1,2011-12-16,1881176.67,0,51.63,3.16,219.18,7.87
1,2011-12-23,2270188.99,0,47.96,3.11,219.36,7.87
1,2011-12-30,1497462.72,1,44.55,3.13,219.54,7.87
1,2012-01-06,1550369.92,0,49.01,3.16,219.71,7.35
1,2012-01-13,1459601.17,0,48.53,3.26,219.89,7.35
1,2012-01-20,1394393.84,0,54.11,3.27,219.99,7.35
1,2012-01-27,1319325.59,0,54.26,3.29,220.08,7.35
1,2012-02-03,1636339.65,0,56.55,3.36,220.17,7.35
1,2012-02-10,1802477.43,1,48.02,3.41,220.27,7.35
1,2012-02-17,1819870.00,0,45.32,3.51,220.43,7.35
1,2012-02-24,1539387.83,0,57.25,3.56,220.64,7.35
1,2012-03-02,1688420.76,0,60.96,3.63,220.85,7.35
1,2012-03-09,1675431.16,0,58.76,3.67,221.06,7.35
1,2012-03-16,1677472.78,0,64.74,3.73,221.21,7.35
1,2012-03-23,1511068.07,0,65.93,3.79,221.29,7.35
1,2012-03-30,1649604.63,0,67.61,3.85,221.36,7.35
1,2012-04-06,1899676.88,0,70.43,3.89,221.44,7.14
1,2012-04-13,1621031.70,0,69.07,3.89,221.51,7.14
1,2012-04-20,1521577.87,0,66.76,3.88,221.56,7.14
1,2012-04-27,1468928.37,0,67.23,3.81,221.62,7.14
1,2012-05-04,1684519.99,0,75.55,3.75,221.67,7.14
1,2012-05-11,1611096.05,0,73.77,3.69,221.73,7.14
1,2012-05-18,1595901.87,0,70.33,3.63,221.74,7.14
1,2012-05-25,1555444.55,0,77.22,3.56,221.74,7.14
1,2012-06-01,1624477.58,0,77.95,3.50,221.75,7.14
1,2012-06-08,1697230.96,0,78.30,3.45,221.75,7.14
1,2012-06-15,1630607.00,0,79.35,3.39,221.76,7.14
1,2012-06-22,1527845.81,0,78.39,3.35,221.80,7.14
1,2012-06-29,1540421.49,0,84.88,3.29,221.84,7.14
1,2012-07-06,1769854.16,0,81.57,3.23,221.88,6.91
1,2012-07-13,1527014.04,0,77.12,3.26,221.92,6.91
1,2012-07-20,1497954.76,0,80.42,3.31,221.93,6.91
1,2012-07-27,1439123.71,0,82.66,3.41,221.94,6.91
1,2012-08-03,1631135.79,0,86.11,3.42,221.95,6.91
1,2012-08-10,1592409.97,0,85.05,3.49,221.96,6.91
1,2012-08-17,1597868.05,0,84.85,3.57,222.04,6.91
1,2012-08-24,1494122.38,0,77.66,3.62,222.17,6.91
1,2012-08-31,1582083.40,0,80.49,3.64,222.31,6.91
1,2012-09-07,1661767.33,1,83.96,3.73,222.44,6.91
1,2012-09-14,1517428.87,0,74.97,3.72,222.58,6.91
1,2012-09-21,1506126.06,0,69.87,3.72,222.78,6.91
1,2012-09-28,1437059.26,0,76.08,3.67,222.98,6.91
1,2012-10-05,1670785.97,0,68.55,3.62,223.18,6.57
1,2012-10-12,1573072.81,0,62.99,3.60,223.38,6.57
1,2012-10-19,1508068.77,0,67.97,3.59,223.43,6.57
1,2012-10-26,1493659.74,0,69.16,3.51,223.44,6.57
2,2010-02-05,2136989.46,0,40.19,2.57,210.75,8.32
2,2010-02-12,2137809.50,1,38.49,2.55,210.90,8.32
2,2010-02-19,2124451.54,0,39.69,2.51,210.95,8.32
2,2010-02-26,1865097.27,0,46.10,2.56,210.98,8.32
2,2010-03-05,1991013.13,0,47.17,2.63,211.01,8.32
2,2010-03-12,1990483.78,0,57.56,2.67,211.04,8.32
2,2010-03-19,1946070.88,0,54.52,2.72,210.87,8.32
2,2010-03-26,1750197.81,0,51.26,2.73,210.68,8.32
2,2010-04-02,2066187.72,0,63.27,2.72,210.48,8.20
2,2010-04-09,1954689.21,0,65.41,2.77,210.28,8.20
2,2010-04-16,1874957.94,0,68.07,2.81,210.15,8.20
2,2010-04-23,1821990.93,0,65.11,2.80,210.10,8.20
2,2010-04-30,1802450.29,0,66.98,2.78,210.05,8.20
2,2010-05-07,2042581.71,0,71.28,2.84,210.00,8.20
2,2010-05-14,1880752.36,0,73.31,2.85,210.00,8.20
2,2010-05-21,1896937.10,0,74.83,2.83,210.28,8.20
2,2010-05-28,1957113.89,0,81.13,2.76,210.56,8.20
2,2010-06-04,2102539.93,0,81.81,2.71,210.83,8.20
2,2010-06-11,2025538.76,0,83.40,2.67,211.11,8.20
2,2010-06-18,2001636.96,0,85.81,2.64,211.11,8.20
2,2010-06-25,1939927.09,0,86.26,2.65,211.00,8.20
2,2010-07-02,2003940.64,0,82.74,2.67,210.88,8.10
2,2010-07-09,1880902.62,0,82.59,2.64,210.77,8.10
2,2010-07-16,1845879.79,0,85.32,2.62,210.76,8.10
2,2010-07-23,1781717.71,0,87.66,2.61,210.89,8.10
2,2010-07-30,1804246.16,0,83.49,2.64,211.03,8.10
2,2010-08-06,1991909.98,0,89.53,2.63,211.16,8.10
2,2010-08-13,1895601.05,0,89.05,2.69,211.30,8.10
2,2010-08-20,1964335.23,0,88.70,2.66,211.26,8.10
2,2010-08-27,1863840.49,0,87.12,2.62,211.22,8.10
2,2010-09-03,1904608.09,0,81.83,2.58,211.19,8.10
2,2010-09-10,1839128.83,1,79.09,2.57,211.15,8.10
2,2010-09-17,1793903.60,0,82.05,2.58,211.18,8.10
2,2010-09-24,1724557.22,0,81.79,2.62,211.26,8.10
2,2010-10-01,1827440.43,0,69.24,2.60,211.33,8.16
2,2010-10-08,1849921.44,0,63.19,2.63,211.40,8.16
2,2010-10-15,1794355.49,0,65.80,2.72,211.47,8.16
2,2010-10-22,1737947.64,0,68.50,2.73,211.52,8.16
2,2010-10-29,1802755.11,0,66.24,2.72,211.57,8.16
2,2010-11-05,1939061.41,0,57.85,2.69,211.61,8.16
2,2010-11-12,1916812.74,0,59.69,2.73,211.66,8.16
